date,competitor,sector,sentiment_score,mentions
2023-01-04,AlphaCorp,Fintech,-0.9638492727689583,14
2023-01-28,AlphaCorp,Fintech,-0.9127924564911325,62
2023-02-08,AlphaCorp,AI,-0.8493074879877436,10
2023-02-17,AlphaCorp,AI,-0.8591677383009122,81
2023-02-25,AlphaCorp,Fintech,-0.7267573371159424,74
2023-03-04,AlphaCorp,Cloud,-0.8368116391995193,88
2023-03-05,AlphaCorp,Cloud,-0.9896302744520264,94
2023-03-08,AlphaCorp,Cloud,-0.8581181660001447,84
2023-03-10,AlphaCorp,Cloud,-0.8984629379212061,47
2023-03-12,AlphaCorp,Fintech,-0.9447664562525906,47
2023-03-22,AlphaCorp,Fintech,-0.9223305311411536,88
2023-04-03,AlphaCorp,AI,-0.7232938151643973,93
2023-04-04,AlphaCorp,Fintech,-0.7345091555140604,97
2023-04-07,AlphaCorp,AI,-0.9178649664642484,15
2023-01-03,BetaTech,Fintech,-0.8382540667656047,32
2023-01-06,BetaTech,Fintech,-0.8836128089831128,84
2023-01-10,BetaTech,Cloud,-0.8122534198374165,13
2023-01-18,BetaTech,Fintech,-0.9045677446167024,70
2023-01-21,BetaTech,AI,-0.7596707043887156,30
2023-01-23,BetaTech,Cloud,-0.8164018683731162,91
2023-01-24,BetaTech,Fintech,-0.8116860234628798,51
2023-01-28,BetaTech,AI,-0.9656777963364995,79
2023-02-03,BetaTech,Cloud,-0.9038821516059325,43
2023-02-07,BetaTech,Fintech,-0.9693909194192305,54
2023-02-20,BetaTech,Cloud,-0.7429992935321796,10
2023-03-02,BetaTech,Fintech,-0.9220737353795327,96
2023-03-14,BetaTech,Fintech,-0.9216273466487075,47
2023-03-22,BetaTech,AI,-0.7446205411550688,26
2023-04-05,BetaTech,Fintech,-0.8000302256762732,43
2023-04-06,BetaTech,Cloud,-0.8930294065052622,17
2023-01-04,GammaSoft,Cloud,-0.8334311776094807,73
2023-01-05,GammaSoft,Cloud,-0.8165917054830378,68
2023-01-11,GammaSoft,AI,-0.773070795965104,31
2023-01-15,GammaSoft,Cloud,-0.8882576906452999,13
2023-01-28,GammaSoft,Fintech,-0.706790356615949,75
2023-02-25,GammaSoft,Fintech,-0.8342173566132915,23
2023-03-04,GammaSoft,Fintech,-0.9131984334036545,42
2023-03-09,GammaSoft,Fintech,-0.8491309058204615,32
2023-03-19,GammaSoft,Fintech,-0.8842722044845852,82
2023-03-21,GammaSoft,AI,-0.7864878681282312,18
2023-03-31,GammaSoft,Fintech,-0.9353680977806991,59
2023-04-05,GammaSoft,AI,-0.7336297495525006,85
2023-04-06,GammaSoft,Cloud,-0.8475992408016737,44
